Adversary,Level,Skills,Talents,Abilities,Equipment,Index
Salana,Nemesis,Charm 3; Coercion 2; Warfare 2; Leadership 3; Negotiation 3; Perception 2; Ranged [Light] 2; Streetwise 3; Skullduggery 2,Adversary 2; Inspiring Rhetoric,None,Blaster Pistol; Comlink (handheld); Personal Deflector Shield,SoR:47
Savo and Camerlin,Rival,Cool 2; Melee 3; Perception 2; Ranged [Light] 3; Vigilance 2,None,None,Armored Clothing; Blaster Pistol; Comlink (handheld); Datapad; Scanner Goggles; Utility Belt,LoNH:135*
SBD Series Assistance and Rescue Droid,Rival,Cool 1; Coordination 2; Mechanics 1; Medicine 2; Perception 3,Keen Eyed 2,Droid,2 emergency medpacs; 8 stimpacks; Built-in General Purpose Scanner; Built-in Long Range Comlink; Built-in Physician's Kit; Built-in toolkit,DoH:55
Scarred Gladiator,Nemesis,Athletics 2; Brawl 4; Coordination 1; Medicine 3; Melee 3; Streetwise 2; Survival 2; Vigilance 2,Adversary 2; Force Rating 2,Dark Side Force User; Force Power Heal/Harm,None,F-CRB:413
Scout,Rival,Astrogation 3; Gunnery 2; Outer Rim 2; Mechanics 2; Piloting [Space] 3; Ranged [Light] 1,Galaxy Mapper 3,None,Blaster Pistol; Datapad; Scout Ship,F-CRB:402
Scout Collector,Rival,Xenology 4; Perception 3,None,Droid; Hoverer; Silhouette 3,Cryostorage bay; Grapple arms,EtU:57
Scout Surveyor,Rival,Perception 3; Ranged [Light] 1; Stealth 2; Survival 3,Hunter 1; Swift,Droid,Stun blaster,EtU:57
SDMN Series Session Droid,Rival,Charm 2; Cool 2; Computers 2; Coordination 2; Deception 2,Plausible Deniability 1; Smooth Talker 2,Backup Entertainer; Droid,None,FH:50
Sector Ranger,Rival,Athletics 2; Brawl 1; Cool 2; Coordination 2; Ranged [Heavy] 3; Ranged [Light] 3; Streetwise 3; Survival 3; Vigilance 2,Adversary 1,None,Blaster Pistol; Blaster Rifle; Heavy Clothing,E-CRB:405
Security Droid,Rival,Ranged [Light] 3; Vigilance 3,None,Droid,Blaster Pistol,E-CRB:412; CotGAD:11
Security Droid,Rival,Ranged [Light] 3; Vigilance 3,Heightened Awareness,Droid,Built-in blaster pistol; Snare Launcher,JoY:80
Security Enforcer,Minion,Melee; Perception; Ranged [Heavy],None,None,Blaster Carbine; Shock Truncheon; Uniform,SoF:73
Security Investigator,Rival,Coercion 2; Deception 2; Discipline 2; Perception 2,None,None,Disruptor Pistol; Uniform,SoF:73
Security Officers,Rival,Discipline 1; Melee 1; Perception 2; Ranged [Light] 1; Streetwise 2; Vigilance 2,None,None,Comlink (handheld); Heavy Blaster Pistol; Padded Armor; Stimpack; Truncheon,SoF:126*
Selonian Thug,Minion,Brawl; Melee; Perception; Stealth; Vigilance,None,None,Padded Armor; Selonian Glaive; Tail,SoF:48
Selonian Wanderer,Rival,Brawl 1; Melee 1; Resilience 1; Vigilance 1,None,None,Padded Armor; Selonian Glaive; Stimpack; Tail,SoF:123
Senior Advisor Setenna Hase,Nemesis,Charm 3; Cool 2; Discipline 2; Education 4; Warfare 1; Leadership 2; Negotiation 3; Ranged [Light] 2,Adversary 2; Command 2; Field Commander,Improved Covering Fire,Blast Vest; Light Blaster Pistol,OaA:18
Sentry Droid Profile,Rival,Gunnery 2; Piloting [Space] 2,None,None,None,E-CRB:431
Sera Riggers,Nemesis,Cool 3; Leadership 3; Negotiation 2; Perception 4; Ranged [Light] 2; Streetwise 3; Vigilance 2,Adversary 1; Nobody's Fool 1,Spaceport Leader,Blaster Pistol; Comlink (handheld); Datapad; Uniform,SoF:49
Seraphs Gang Member,Minion,Melee; Piloting [Planetary]; Ranged [Light]; Streetwise,None,None,Chain; Light Blaster Pistol; Riding Leather,SoF:131
Service Patch Remote,Minion,Computers; Mechanics,Technical Aptitude 1,Droid; Silhouette 0,Built-in toolkit,SM:53
Shadowport Mechanic,Rival,Astrogation 1; Computers 2; Mechanics 3; Streetwise 2; Underworld 2,None,None,Heavy Hydrospanner; Tool Kit,A-CRB:426; CotGAD:5
Shalo Sherin,Nemesis,Charm 3; Coercion 3; Deception 4; Underworld 2; Leadership 3; Negotiation 3; Ranged [Light] 2; Streetwise 3,Adversary 1; Gang Leader; Smooth Talker 1,None,Fine Clothing; Light Blaster Pistol; Personal Deflector Shield,LoNH:135*
Shen's Goons,Minion,Brawl; Coercion; Gunnery; Ranged [Heavy]; Streetwise,Lethal Blows 1,None,Blaster Carbine; Brass Knuckles; Heavy Clothing,JoY:87
Shield Remote,Minion,Vigilance,Body Guard 1,Droid; Silhouette 0,General Purpose Scanner,SM:53
Shipjacker,Rival,Computers 1; Deception 2; Piloting [Space] 2; Skullduggery 2; Stealth 2; Vigilance 1,Adversary 1,None,Electronic Lock Breaker; Heavy Blaster Pistol; Stun Grenade,E-CRB:394; SaVAD:14
Shreya Ordassa,Nemesis,Charm 2; Coercion 2; Cool 2; Deception 1; Education 4; Leadership 1; Negotiation 3,Nobody's Fool 1; Scathing Tirade,None,Datapad,JoY:60*
Sianna Sekko,Nemesis,Deception 2; Discipline 3; Lightsaber 3; Ranged [Light] 1; Stealth 2; Vigilance 2,Adversary 2; Ataru Technique; Force Rating 3; Parry (Improved); Parry 3; Reflect 3,Force Power Enhance; Force Power Misdirect,BlasTech SE-14r Light Repeating Blaster; Blood Blade; Combat Robes; Stimpack,NoP:123
Skyholme Astromancer,Nemesis,Astrogation 4; Discipline 3; Lore 4; Perception 3; Vigilance 2,Adversary 2; Force Rating 4; Ritual Caster,Force Power Forsee; Force Power Protect/Unleash,Heavy and Smelly Robes; Wizard Pouch; Wizard's Staff,NoP:37
Skyholme Lucite,Nemesis,Astrogation 4; Deception 3; Discipline 2; Lore 4; Melee 3; Perception 3; Vigilance 2,Adversary 2; Force Rating 4; Ritual Caster,Dark Side Force User; Force Power Forsee; Force Power Protect/Unleash,Heavy and Smelly Robes; Hidden Razor-dagger; Wizard Pouch; Wizard's Staff,NoP:37
Slaver,Rival,Coercion 2; Melee 2; Ranged [Light] 2; Vigilance 2,None,None,Battered stun pistol; Net; Truncheon,E-CRB:394; SaVAD:13
Slaver Guard,Minion,Coercion; Melee; Ranged [Heavy],None,None,Adverse Environment Gear; Blaster Rifle; Force Pike; Stun Grenade,MPQ:62
Slicer,Rival,Computers 2; Cool 2; Skullduggery 1,Bypass Security 1,None,Slicer Gear; Stun blaster,A-CRB:426; E-CRB:395; SaVAD:15
Smuggler,Rival,Charm 2; Cool 1; Piloting 3; Ranged [Light] 2; Skullduggery 2; Streetwise 2; Vigilance 1,Skilled Jockey 2,None,Blaster Pistol,A-BGR:46; E-BGR:46
Smuggler,Rival,Charm 2; Cool 1; Ranged [Light] 2; Piloting [Space] 3; Skullduggery 2; Streetwise 2; Vigilance 1,Adversary 1; Skilled Jockey 2,None,Blaster Pistol,A-CRB:427; E-CRB:396; SaVAD:8
Smuggler Baron,Nemesis,Astrogation 3; Charm 2; Cool 3; Gunnery 3; Underworld 3; Ranged [Light] 3; Piloting [Planetary] 3; Piloting [Space] 4; Skullduggery 2; Streetwise 4; Vigilance 2,Adversary 1; Master Pilot; Skilled Jockey 2,None,Armored Clothing; Heavy Blaster Pistol,E-CRB:395; SaVAD:9
Sororith Palace Guard,Minion,Coercion; Cool; Discipline; Melee; Ranged [Heavy],None,None,Blaster Carbine; Heavy Clothing Uniforms; Vibrosword,MPQ:70
Sorority Bodyguard,Rival,Athletics 2; Brawl 3; Cool 2; Melee 2; Piloting [Planetary] 2; Ranged [Light] 3; Vigilance 3,Targeted Blow,None,Blaster Pistol; Comlink (handheld); Heavy Clothing; Vibroknife,MPQ:65
Sorority Coutier,Minion,Charm; Deception; Streetwise; Underworld,None,None,Flamboyant clothing,MPQ:70
Sorority Crew,Minion,Computers; Gunnery; Mechanics; Melee; Ranged [Light],None,None,Breath mask or space suit; Glow Rod; Tool Kit; Utility Belt; Vibroknife,MPQ:89
Sorority Defender,Minion,Melee; Ranged [Light]; Vigilance,None,None,Blaster Pistol; Breath Masks and Respirators; Padded Armor; Vibroknife,MPQ:85
Sorority Engineer,Minion,Computers; Mechanics; Melee; Ranged [Light],None,None,Blaster Pistol; Breath Masks and Respirators; Glow Rod; Heavy Hydrospanner; Sealed Coveralls; Tool Kit; Utility Belt,MPQ:88
Sorority Fighter Jockey,Minion,Astrogation; Gunnery; Piloting [Space]; Ranged [Light],None,None,Blaster Pistol; Flight suit and helmet; Utility Belt,MPQ:79
Sorority Pirate,Minion,Coercion; Cool; Melee; Ranged [Heavy]; Ranged [Light],None,None,Blaster Carbine; Heavy Blaster Pistol; Heavy Clothing; Vibroknife; Vibrosword,MPQ:31
Sorority Pirate Queensguard,Minion,Coercion; Cool; Melee; Ranged [Heavy]; Vigilance,None,None,Armored Clothing; Blaster Carbine; Vibro-ax,MPQ:36
Sorority Saboteur,Minion,Computers; Mechanics; Melee; Ranged [Light]; Skullduggery,None,None,Heavy Blaster Pistol; Heavy Clothing; Utility Belt; Vibroknife,MPQ:75
SoroSuub Corporate Security,Minion,Coercion; Melee; Perception; Ranged [Heavy]; Resilience; Vigilance,None,None,Activv1 Riot Shield; Binders; Blaster Carbine; Comlink (handheld); Padded Armor; Stun Baton,SoR:139
SoroSuub G2 Repair Droid,Rival,Astrogation 2; Computers 3; Core Worlds 1; Outer Rim 1; Mechanics 3; Piloting [Space] 2,None,Droid,None,SoR:114
SoroSuub Wanderer Scout Survey Droid,Rival,Perception 3; Ranged [Light] 1; Stealth 2; Survival 3,Hunter 1; Swift,Droid,Stun blaster,SoR:114
Spaceport Administrator,Nemesis,Charm 2; Coercion 2; Cool 2; Deception 2; Ranged [Light] 2; Perception 4; Streetwise 3; Vigilance 3,Adversary 1; Nobody's Fool 1; Plausible Deniability 2,Spaceport Leader,Comlink (handheld); Datapad; Light Blaster Pistol,E-CRB:398; CotGAD:18
Spaceport Official,Rival,Charm 1; Coercion 1; Cool 1; Outer Rim 3,None,None,Encrypted Comlink; Light Blaster Pistol,OaA:77
Spaceport Overseer,Rival,Coercion 2; Cool 2; Perception 3; Streetwise 3; Vigilance 3,None,None,Comlink (handheld); Datapad; Light Blaster Pistol,A-CRB:431
Spaceport Security Detail,Minion,Perception; Ranged [Light],None,None,Blaster Pistol; Padded Armor; Stun Grenade,E-CRB:398
Spaceport Security Droids,Rival,Discipline 1; Ranged [Light] 3,None,None,Built-in blaster pistol,E-BGA:18; E-BGA:24
Spaceport Security Officer,Rival,Cool 1; Discipline 2; Ranged [Heavy] 2; Ranged [Light] 1; Resilience 2; Vigilance 2,Adversary 1,None,Blaster Rifle; Padded Armor; Stimpack,E-CRB:398
Spaceport Urchin,Minion,Skullduggery; Stealth; Streetwise; Survival,None,None,Small rocks,E-CRB:399
Spice Pusher,Rival,Deception 3; Negotiation 3; Ranged [Light] 2; Skullduggery 3; Streetwise 4,None,None,Avabush Spice (1 dose); Death Sticks (1 dose); Glitterstim (1 dose); Heavy Blaster Pistol; Vibroknife,F-CRB:405
Spir Fraxis,Minion,None,None,None,Heavy Blaster Pistol,E-CRB:425*
Starfighter Ace,Rival,Cool 3; Gunnery 2; Piloting [Space] 3,None,None,Astromech Droid; Flight Suit; Light Blaster Pistol,A-CRB:415; IaRAD:18
Starfighter Pilot,Minion,Cool; Gunnery; Piloting [Space],None,None,Flight Suit; Light Blaster Pistol,A-CRB:415; IaRAD:17
Stone Guardian,Rival,Athletics 2; Brawl 3; Perception 2; Vigilance 2,Durable 2,Droid,"Integrated SecureTech ""Nightsight"" passive sensor suite; Stoney Fists",NoP:106
Stormtrooper Captain TH-313,Rival,Athletics 2; Deception 1; Discipline 2; Leadership 3; Melee 2; Ranged [Heavy] 2; Ranged [Light] 2; Resilience 2; Vigilance 2,Adversary 1,Bad Knee,BlasTech SE-14r Light Repeating Blaster; Extra Reload; Frag Grenade; Stormtrooper Armor; Utility Belt; Vibroknife,CotG:65
Stormtrooper Specialty Corps: Dark Trooper,Rival,Brawl 2; Gunnery 4; Perception 2; Vigilance 2,Adversary 1,Droid; Enhanced Senses,Internal Comlink; Jet Pack; Missile Tube; Plasma Shell Assault Cannon; Power Armor,A-CRB:421
Stormtrooper Specialty Corps: Sandtrooper,Minion,Athletics; Discipline; Melee; Ranged [Heavy]; Resilience; Survival,None,None,Blaster Rifle; Extra Reload; Food and Water packs; High-temp Environment Armor; Utility Belt,A-CRB:422; OaA:37*
Stormtrooper Specialty Corps: Scout Trooper,Minion,Athletics; Discipline; Melee; Ranged [Heavy]; Ranged [Light]; Vigilance,None,None,Blaster Sniper Rifle with scope; Extra Reload; Frag Grenade; Light Blaster Pistol; Scout Trooper Armor; Utility Belt,A-CRB:422; IaRAD:3
Stormtrooper Specialty Corps: Snowtrooper,Minion,Athletics; Discipline; Gunnery; Melee; Ranged [Heavy]; Resilience; Survival,None,None,Heavy Repeating Blaster; Multi-optic sighted blaster rifle; Snowtrooper Armor,RaGP:25*; A-CRB:422; IaRAD:4
Street Tough,Minion,Melee; Ranged [Heavy]; Ranged [Light]; Skullduggery,None,None,Blaster Pistol; Slugthrower Rifle; Truncheon,E-CRB:396; F-BGR:46; F-CRB:405; SaVAD:1
Suljo Warde,Nemesis,Athletics 2; Brawl 3; Cool 3; Deception 3; Discipline 3; Lightsaber 4; Perception 3; Resilience 2; Vigilance 3,Adversary 3; Center of Being 2; Force Rating 5; Parry 3; Reflect 3; Saber Throw; Center of Being (Improved); Parry (Improved); Reflect (Improved),Dark Side Force User; Force Power Enhance; Force Power Move; Force Power Warde's Foresight,Armored Robes; Kyber Crystal; Warde's Lightsaber,CotG:93
Sullustan Pilot-for-Hire,Rival,Astrogation 4; Cool 1; Gunnery 2; Ranged [Light] 1; Perception 5; Piloting [Planetary] 3; Piloting [Space] 3; Survival 1,None,None,Blaster Pistol,E-CRB:396
Sullustan Resistance Fighter,Minion,Melee; Perception; Ranged [Heavy]; Ranged [Light]; Skullduggery; Stealth,None,None,Blaster Carbine; Combat Knife; Frag Grenade; Padded Armor,SoR:138
Sunny Bounder,Nemesis,Coercion 2; Cool 4; Leadership 1; Melee 3; Piloting [Planetary] 3; Ranged [Light] 2; Streetwise 3,Adversary 1; Full Throttle [Improved]; Natural Driver,None,Blaster Pistol; Chain; Riding Armor,SoF:130
Survivors,Minion,Athletics; Discipline; Melee; Ranged [Heavy]; Ranged [Light],None,Animal Combatant; Wilderness Valor,Combat Knife; Comlink (handheld); Worn-out blaster pistol,BtR:64
Swamptrooper,Minion,Athletics; Discipline; Melee; Perception; Ranged [Heavy]; Ranged [Light]; Survival; Vigilance,None,None,Blaster Carbine; Electrobinoculars; Extra Reload; Frag Grenade; Rebreather; Swamptrooper Armor,LoNH:128
Swoop Ganger,Rival,Brawl 1; Piloting [Planetary] 1; Ranged [Light] 1; Streetwise 1,None,None,Light Blaster Pistol,E-CRB:397; SaVAD:3
T'Landa Til Charlatan,Rival,Brawl 1; Charm 3; Deception 3,Blooded 2,Humming Vibrations,None,LoNH:87
T-Series Tactical Droid,Rival,Cool 3; Discipline 2; Warfare 3; Leadership 3; Perception 2; Vigilance 2,Field Commander,CDE-T Tactical Computer; Droid,None,LbE:45
Tabarith's Thug,Rival,Brawl 1; Coercion 1; Ranged [Light] 1,None,None,Blaster Pistol; Brass Knuckles; Comlink (handheld); Long Coat,JoY:24
Tactical Assassin Droid,Rival,Melee 2; Ranged [Light] 1; Vigilance 3,None,Droid,Force Pike; Integral Wrist Blaster,F-CRB:440
Tam Blackstar,Rival,Gunnery 2; Piloting [Space] 2,Skilled Jockey 2,None,Flight Suit; Light Blaster Pistol,OaA:42
Tarryn Rayzer,Rival,Charm 2; Computers 2; Cool 2; Mechanics 3; Piloting [Planetary] 4; Streetwise 2,Full Throttle,None,Blaster Pistol; Comlink (handheld),JoY:47*
Taska Mastigar,Rival,Brawl 2; Charm 3; Coercion 3; Deception 2; Discipline 2; Outer Rim 2; Underworld 3; Xenology 1; Melee 2; Negotiation 3; Ranged [Light] 2; Streetwise 3,Adversary 1; Nobody's Fool 3; Plausible Deniability 3; Scathing Tirade,None,Armored Clothing; Comlink (handheld); Datapad; Holdout Blaster,SoR:143
TC-SC Infiltration Droid,Nemesis,Athletics 2; Computers 3; Cool 3; Deception 4; Melee 3; Perception 3; Ranged [Light] 3; Skullduggery 3; Stealth 4; Vigilance 3,Adversary 2; Indistinguishable 2,Droid,Multispectrum disguise suite,EV:47
TC-Series Protocol Droid,Rival,Charm 2; Education 3; Xenology 3; Negotiation 1; Perception 2,None,Advanced Language Module; Droid; Etiquette and Protocol,None,DA:55
Tetan Guard,Rival,Brawl 3; Coercion 2; Cool 3; Discipline 3; Ranged [Light] 2; Ranged [Heavy] 2; Vigilance 3,Body Guard 2,None,Binders; Ceremonial Armor; Ceremonial Blaster Rifle; Comlink (handheld),NoP:63; NoP:124
Thamoss,Nemesis,Brawl 3; Underworld 2; Negotiation 3; Perception 3; Ranged [Light] 2; Streetwise 3; Vigilance 3,Adversary 1,Trandoshan Claws,Comlink (handheld); Disruptor Pistol; Holdout Blaster; Padded Armor,LoNH:132*
Thamoss's Security Guards,Minion,Deception; Perception; Ranged [Heavy]; Ranged [Light]; Vigilance,Quick Strike 1,None,Armored Clothing; Blaster Carbine; Blaster Pistol; Combat Knife; Comlink (handheld); Thermal Cloak,LoNH:132
The Anvil,Rival,Athletics 2; Brawl 3; Coercion 2; Coordination 3; Discipline 2; Melee 2; Resilience 2; Streetwise 1,None,None,Mask; Wresting costume,MPQ:56*
The Carbine,Rival,Cool 2; Gunnery 3; Piloting [Planetary] 3; Ranged [Light] 3,Dead to Rights,None,Heavy Blaster Pistol,JoY:46*
The Gatekeeper,Rival,Cool 1; Discipline 1; Knowledge 2,None,None,None,F-BGA:13
TIE Ace,Rival,Gunnery 2; Piloting [Space] 2,None,None,Flight Suit; Light Blaster Pistol; Sensory Augmentation Package,A-CRB:423; IaRAD:6
TIE Pilot,Minion,Gunnery; Piloting [Space],None,None,Flight Suit; Light Blaster Pistol,A-CRB:423; E-BGA:26*; F-CRB:408; IaRAD:5
Tik,Rival,Brawl 3; Coercion 2; Melee 3; Perception 2; Stealth 4; Survival 4; Vigilance 2,Jump Up; Natural Brawler,Cornered Fury,Makeshift Spear; Tribal Fetishes,A-CRB:449
TJ-11,Nemesis,Coercion 2; Cool 2; Leadership 3; Education 1; Warfare 2; Perception 2; Ranged [Light] 3; Vigilance 2,Adversary 2; Command 2; Field Commander,Droid,Comlink (handheld); Datapad; Heavy Blaster Pistol,DitW:23*
Tol Pirilian,Rival,Charm 3; Cool 1; Deception 3,None,None,City government datapad (encrypted); City government ID; city-issued luxury airspeeder; Imperial ID; Protocol Droid,RaGP:29*
Tor Haido,Rival,Cool 1; Discipline 1; Mechanics 2; Negotiation 1; Perception 1; Skullduggery 1,None,None,Holdout Blaster,CotG:60
Torani Kulda,Nemesis,Athletics 2; Coercion 3; Cool 2; Perception 2; Ranged [Heavy] 3; Ranged [Light] 2; Streetwise 2; Survival 3,Adversary 1; Soft Spot,None,Blaster Pistol; Blaster Rifle; Comlink (handheld); Utility Belt; Vibroknife,LoNH:136*
Toydarian Farmer,Minion,Athletics; Melee; Negotiation; Survival,None,Hoverer; Silhouette 0,Farming Implement,LoNH:80
Toydarian Merchant,Rival,Charm 2; Cool 2; Deception 3; Negotiation 2; Perception 3; Streetwise 2,Natural Negotiator; Nobody's Fool 1,Hoverer; Silhouette 0,Dataslate; Holdout Blaster; Loaded Chance Cubes,LoNH:80; F-CRB:403
Toydarian Royal Guard,Rival,Discipline 4; Melee 2; Perception 2; Ranged [Light] 2; Ranged [Heavy] 2; Vigilance 3,Body Guard 1,Hoverer; Silhouette 0,Blaster Rifle; Cortosis Sword; Electro-visor; Frag Grenade; Padded Armor,LoNH:81
Tracer,Nemesis,Coercion 2; Deception 3; Discipline 2; Leadership 1; Perception 3; Ranged [Light] 3; Vigilance 2,Adversary 1,None,Detention center prisoner uniform,RaGP:46
Trandoshan Mercenary,Rival,Coercion 2; Cool 1; Discipline 1; Lore 2; Melee 2; Ranged [Heavy] 2; Vigilance 2,None,Regeneration,Blaster Rifle; Claws; Comlink (handheld); Padded Armor,BtR:87
TRD-2 Sparring Droid,Rival,Athletics 2; Brawl 3; Coordination 1; Lightsaber 3; Melee 3; Ranged [Heavy] 2,None,Combat Training; Droid,Double-bladed Training Saber; Stun Cannon; Z6 Riot Control Baton,DoH:56
Trex,Nemesis,Brawl 1; Cool 1; Discipline 1; Mechanics 3; Negotiation 1; Perception 2; Piloting 1; Ranged [Light] 2; Vigilance 1,None,Trandoshan Claws,Comlink (handheld); Emergency Repair Kit; Heavy Blaster Pistol; Heavy Clothing; Stimpack,E-BGA:24
TTS20-Series Dialectic Droid,Rival,Charm 2; Cool 1; Deception 2; Core Worlds 1; Education 1; Negotiation 3; Perception 2; Streetwise 1,None,Droid; Master of Rhetoric,None,DoH:56
Tur and Kel,Nemesis,Athletics 2; Brawl 3; Melee 3; Resilience 3; Survival 2; Vigilance 3,Durable 2; Frenzied Attack 1,Berserk Rage,Armored Clothing; Spiked Mace,MPQ:70*
Twi'lek Black Marketeer,Rival,Underworld 2; Negotiation 2; Ranged [Light] 1; Skullduggery 2; Streetwise 2; Vigilance 2,Adversary 1; Black Market Contacts 2,None,Blaster Pistol; Shock Gloves; Thermal Detonator,E-CRB:397
Twi'lek Dancer,Minion,Charm; Coordination,None,None,Dancing attire,E-CRB:414; CotGAD:13
Ugnaught Laborer,Rival,Computers 1; Mechanics 2; Melee 1,None,Silhouette 0; Stubborn and Dependable,Durable clothing; Hydrospanner,JoY:14; CotGAD:6
Ugnaught Mechanic,Minion,Athletics; Mechanics; Resilience,None,Silhouette 0; Stubborn and Dependable,Durable clothing; Giant Hydrospanner; Tool Kit; Utility Belt,F-CRB:404
Urel Haydon,Rival,Charm 3; Deception 3; Melee 2; Perception 1; Ranged [Light] 2; Skullduggery 2; Stealth 3; Vigilance 1,Adversary 1; Stalker 2,None,Cybernetic right arm; left eye; and right leg; Encrypted Comlink; Light Blaster Pistol; Reinforced Blast Vest; Vibroknife,OaA:22
Urtuaa Haaot,Rival,Charm 3; Cool 3; Discipline 2; Negotiation 3,Natural Negotiator,None,Light Blaster Pistol,OaA:66*
Var Narek,Nemesis,Computers 3; Cool 1; Coordination 2; Deception 3; Warfare 2; Piloting [Planetary] 2; Ranged [Light] 2; Skullduggery 1; Stealth 3,Adversary 1; Convincing Demeanor 2,None,Blaster Pistol; Flak vest; Personal Deflector Shield; Wrist link with microtracker,OaA:69*
Varla Prule,Rival,Charm 3; Coercion 2; Deception 3; Discipline 2; Leadership 3; Negotiation 3; Ranged [Light] 1,None,None,Fine Clothing; Jewelry; Light Blaster Pistol; Uniform,A-CRB:441*
Venerable Hutt,Nemesis,Athletics 1; Charm 2; Coercion 3; Cool 2; Deception 3; Discipline 3; Outer Rim 2; Underworld 2; Melee 1; Negotiation 3; Ranged [Light] 1; Resilience 5,Convincing Demeanor 2; Durable 2; Nobody's Fool 2,Awkward; Ponderous,None,LoNH:47
Venlana Sipal,Nemesis,Charm 3; Coercion 3; Deception 3; Underworld 2; Melee 2; Negotiation 3; Ranged [Light] 2; Streetwise 3,Adversary 2; Point Blank 2,None,Conservative Clothing; Holdout Blaster; Stimpack; Vibroknife,MPQ:17*
Verd Ramos,Rival,Cool 4; Coordination 3; Discipline 4; Melee 4; Negotiation 2; Perception 2; Stealth 2,None,None,Comlink (handheld); Datapad,SoF:141
Viewpointe Residential Tower Security,Rival,Athletics 1; Coercion 2; Discipline 1; Brawl 2,None,None,Security Uniform; Shock Gloves,RaGP:20
Viper Probe Droid,Rival,Cool 1; Perception 2; Ranged [Light] 2; Survival 2; Vigilance 2,None,Droid; Hoverer; Self-destruct Mechanism,Built-in blaster pistol; Life Form Scanner; long-range holonet communicator; Long-range Sensor Array,F-CRB:410; HD:10
Voralla Morbo,Rival,Charm 3; Deception 2; Perception 2,Kill with Kindness 1,None,100 credits; Morbo's Place cantina,SoR:55
Vordan Enforcer,Rival,Athletics 1; Melee 1; Perception 1; Ranged [Heavy] 2; Survival 1; Vigilance 1,None,Loyalty,Vodran Hunting Rifle,LoNH:85
Vorn Tel-Ovis,Rival,Discipline 1; Knowledge 1; Mechanics 1; Negotiation 1; Vigilance 1,None,None,Emergency Repair Kit; Heavy Clothing; Holdout Blaster; Stimpack,E-BGA:14
Vorse Tabarith,Nemesis,Brawl 3; Charm 1; Coercion 3; Deception 3; Discipline 1; Underworld 3; Leadership 1; Melee 2; Negotiation 2; Ranged [Heavy] 2; Ranged [Light] 2; Skullduggery 2; Streetwise 3; Vigilance 2,Adversary 1; Nobody's Fool 1; Plausible Deniability 1; Street Smarts 2,None,Heavy Blaster Pistol; Heavy Clothing,JoY:63*
Vossport City Guard,Minion,Brawl; Melee; Vigilance,None,None,Shield; Steel Breastplate; Voss Warspear,NoP:35
VX-19,Rival,Computers 3; Xenology 3; Mechanics 2; Vigilance 2,Technical Aptitude 3,Droid,Built-in blaster pistol,OaA:67*
Warg,Nemesis,Athletics 2; Brawl 3; Melee 3; Resilience 3; Survival 2; Vigilance 3,Durable 2; Frenzied Attack 1,Berserk Rage,Laminate Armor; Massive vibro-ax,MPQ:89*
Wealthy Noble,Rival,Charm 3; Cool 1; Deception 3; Education 2; Melee 2,None,None,Holdout Blaster; Vibrosword,A-CRB:430; E-CRB:409; CotGAD:12
WED Treadwell Repair Droid,Rival,Computers 1; Mechanics 2,None,Droid,Auxiliary Mechanics Equipment,BtR:26
Wheel Security,Minion,Brawl; Coercion; Melee; Ranged [Light]; Vigilance,None,None,Blaster Pistol; Comlink (handheld); Datapad; Riot Armor; Truncheon,BtR:34
Wheel Security Pilots,Rival,Gunnery 1; Piloting [Space] 2,None,None,Flight Suit,BtR:34
Wing Guard Officer,Minion,Coercion; Discipline; Leadership; Melee; Piloting [Planetary]; Ranged [Light]; Vigilance,None,Covering Fire,magnacuffs; Relby-K23 blaster pistol; Stun Club; Wing Guard Uniform,JoY:12
Wing Guard Sergeant,Rival,Coercion 1; Discipline 1; Leadership 2; Melee 2; Piloting [Planetary] 2; Ranged [Light] 2; Vigilance 2,None,Tactical Direction,Comlink (handheld); Extra Reload; Relby-K23 blaster pistol; Stun Club; Wing Guard Uniform,JoY:13
Wingrider,Rival,Athletics 2; Cool 2; Coordination 3; Melee 3; Perception 3; Ranged [Heavy] 3; Survival 3; Vigilance 2,Let's Ride; Feral Strength 2,None,Drall Flashstick; Light Blaster Carbine,SoF:29
Wookie Gladiator,Rival,Athletics 2; Brawl 4; Coordination 2; Melee 4; Ranged [Heavy] 2; Vigilance 2,Adversary 1,Wookie Rage,Vibro-ax,E-CRB:414
Wounded Mantellian Savrip,Rival,Athletics 2; Brawl 3; Discipline 2; Melee 2; Perception 2; Resilience 3; Vigilance 2,None,Poisonous Bite,Large Club,MPQ:61
Yacht Crew,Minion,Gunnery; Piloting [Space],None,None,Heavy Blaster Pistol; Mechanics' coveralls,JoY:91
Yarkora Treasure Hunter,Rival,Charm 2; Coercion 4; Cool 2; Deception 4; Lore 2,None,None,Heavy Blaster Pistol,E-CRB:414
Yav Yiyar,Rival,Cool 1; Deception 2; Melee 2; Piloting [Space] 3; Ranged [Light] 3; Stealth 2; Streetwise 2; Vigilance 2,Adversary 2,None,Armored Clothing; Comlink (handheld); Heavy Blaster Pistol; Vibroknife,BtR:29
Yiyar Clan Members,Minion,Athletics; Discipline; Melee; Piloting [Planetary]; Ranged [Light]; Stealth,None,None,Blaster Pistol; Comlink (handheld); Padded Armor; Vibroknife,BtR:29
Yiyar Salvage Tech,Minion,Brawl; Coercion; Mechanics; Melee; Ranged [Light],None,None,Comlink (handheld); Heavy Blaster Pistol; Padded Armor,BtR:87
